a_data_processing.YouTube.api:2019-12-21 14:21:50,482:INFO:........Channel 150
a_data_processing.YouTube.api:2019-12-21 14:21:50,700:INFO:........Channel 151
a_data_processing.YouTube.api:2019-12-21 14:21:50,916:INFO:........Channel 152
a_data_processing.YouTube.api:2019-12-21 14:21:51,134:INFO:........Channel 153
a_data_processing.YouTube.api:2019-12-21 14:21:51,374:INFO:........Channel 154
a_data_processing.YouTube.api:2019-12-21 14:21:51,614:INFO:........Channel 155
a_data_processing.YouTube.api:2019-12-21 14:21:51,831:INFO:........Channel 156
a_data_processing.YouTube.api:2019-12-21 14:21:52,043:INFO:........Channel 157
a_data_processing.YouTube.api:2019-12-21 14:21:52,256:INFO:........Channel 158
a_data_processing.YouTube.api:2019-12-21 14:21:52,460:INFO:........Channel 159
a_data_processing.YouTube.api:2019-12-21 14:21:52,663:INFO:........Channel 160
a_data_processing.YouTube.api:2019-12-21 14:21:52,866:INFO:........Channel 161
a_data_processing.YouTube.api:2019-12-21 14:21:53,100:INFO:........Channel 162
a_data_processing.YouTube.api:2019-12-21 14:21:53,306:INFO:........Channel 163
a_data_processing.YouTube.api:2019-12-21 14:21:53,525:INFO:........Channel 164
a_data_processing.YouTube.api:2019-12-21 14:21:53,743:INFO:........Channel 165
a_data_processing.YouTube.api:2019-12-21 14:21:53,948:INFO:........Channel 166
a_data_processing.YouTube.api:2019-12-21 14:21:54,172:INFO:........Channel 167
a_data_processing.YouTube.api:2019-12-21 14:21:54,419:INFO:........Channel 168
a_data_processing.YouTube.api:2019-12-21 14:21:54,653:INFO:........Channel 169
a_data_processing.YouTube.api:2019-12-21 14:21:54,872:INFO:........Channel 170
a_data_processing.YouTube.api:2019-12-21 14:21:55,094:INFO:........Channel 171
a_data_processing.YouTube.api:2019-12-21 14:21:55,293:INFO:........Channel 172
a_data_processing.YouTube.api:2019-12-21 14:21:55,512:INFO:........Channel 173
a_data_processing.YouTube.api:2019-12-21 14:21:55,730:INFO:........Channel 174
a_data_processing.YouTube.api:2019-12-21 14:21:55,949:INFO:........Channel 175
a_data_processing.YouTube.api:2019-12-21 14:21:56,153:INFO:........Channel 176
a_data_processing.YouTube.api:2019-12-21 14:21:56,356:INFO:........Channel 177
a_data_processing.YouTube.api:2019-12-21 14:21:56,575:INFO:........Channel 178
a_data_processing.YouTube.api:2019-12-21 14:21:56,794:INFO:........Channel 179
a_data_processing.YouTube.api:2019-12-21 14:21:57,005:INFO:........Channel 180
a_data_processing.YouTube.api:2019-12-21 14:21:57,219:INFO:........Channel 181
a_data_processing.YouTube.api:2019-12-21 14:21:57,438:INFO:........Channel 182
a_data_processing.YouTube.api:2019-12-21 14:21:57,672:INFO:........Channel 183
a_data_processing.YouTube.api:2019-12-21 14:21:57,875:INFO:........Channel 184
a_data_processing.YouTube.api:2019-12-21 14:21:58,110:INFO:........Channel 185
a_data_processing.YouTube.api:2019-12-21 14:21:58,333:INFO:........Channel 186
a_data_processing.YouTube.api:2019-12-21 14:21:58,583:INFO:........Channel 187
a_data_processing.YouTube.api:2019-12-21 14:21:58,803:INFO:........Channel 188
a_data_processing.YouTube.api:2019-12-21 14:21:59,022:INFO:........Channel 189
a_data_processing.YouTube.api:2019-12-21 14:21:59,260:INFO:........Channel 190
a_data_processing.YouTube.api:2019-12-21 14:21:59,501:INFO:........Channel 191
a_data_processing.YouTube.api:2019-12-21 14:21:59,704:INFO:........Channel 192
a_data_processing.YouTube.api:2019-12-21 14:21:59,918:INFO:........Channel 193
a_data_processing.YouTube.api:2019-12-21 14:22:00,129:INFO:........Channel 194
a_data_processing.YouTube.api:2019-12-21 14:22:00,337:INFO:........Channel 195
a_data_processing.YouTube.api:2019-12-21 14:22:00,556:INFO:........Channel 196
a_data_processing.YouTube.api:2019-12-21 14:22:00,759:INFO:........Channel 197
a_data_processing.YouTube.api:2019-12-21 14:22:01,374:INFO:........Channel 198
a_data_processing.YouTube.api:2019-12-21 14:22:01,593:INFO:........Channel 199
a_data_processing.YouTube.api:2019-12-21 14:22:01,812:INFO:........Channel 200
a_data_processing.YouTube.main:2019-12-21 14:22:34,380:INFO:Starting YouTube API construct
a_data_processing.YouTube.main:2019-12-21 14:22:37,371:INFO:Starting process on trends, category 0 for country BR
a_data_processing.YouTube.api:2019-12-21 14:22:37,386:INFO:Initializing YouTube Api V3...
a_data_processing.YouTube.api:2019-12-21 14:22:37,386:INFO:Gathering user developer Key...
a_data_processing.YouTube.api:2019-12-21 14:22:38,795:INFO:Initializing api_manager
a_data_processing.YouTube.api:2019-12-21 14:22:38,795:INFO:Getting videos information from youtube...
a_data_processing.YouTube.api:2019-12-21 14:22:39,547:INFO:........Page 1
a_data_processing.YouTube.api:2019-12-21 14:22:40,439:INFO:........Page 2
a_data_processing.YouTube.api:2019-12-21 14:22:41,079:INFO:........Page 3
a_data_processing.YouTube.api:2019-12-21 14:22:41,819:INFO:........Page 4
a_data_processing.YouTube.api:2019-12-21 14:22:41,819:INFO:Getting channels information...
a_data_processing.YouTube.api:2019-12-21 14:22:41,819:INFO:........Channel 1
a_data_processing.YouTube.api:2019-12-21 14:22:42,019:INFO:........Channel 2
a_data_processing.YouTube.api:2019-12-21 14:22:42,216:INFO:........Channel 3
a_data_processing.YouTube.api:2019-12-21 14:22:42,434:INFO:........Channel 4
a_data_processing.YouTube.api:2019-12-21 14:22:42,638:INFO:........Channel 5
a_data_processing.YouTube.api:2019-12-21 14:22:43,092:INFO:........Channel 6
a_data_processing.YouTube.api:2019-12-21 14:22:43,294:INFO:........Channel 7
a_data_processing.YouTube.api:2019-12-21 14:22:43,528:INFO:........Channel 8
a_data_processing.YouTube.api:2019-12-21 14:22:43,763:INFO:........Channel 9
a_data_processing.YouTube.api:2019-12-21 14:22:43,968:INFO:........Channel 10
a_data_processing.YouTube.api:2019-12-21 14:22:44,165:INFO:........Channel 11
a_data_processing.YouTube.api:2019-12-21 14:22:44,384:INFO:........Channel 12
a_data_processing.YouTube.api:2019-12-21 14:22:44,602:INFO:........Channel 13
a_data_processing.YouTube.api:2019-12-21 14:22:44,822:INFO:........Channel 14
a_data_processing.YouTube.api:2019-12-21 14:22:45,048:INFO:........Channel 15
a_data_processing.YouTube.api:2019-12-21 14:22:45,261:INFO:........Channel 16
a_data_processing.YouTube.api:2019-12-21 14:22:45,480:INFO:........Channel 17
a_data_processing.YouTube.api:2019-12-21 14:22:45,824:INFO:........Channel 18
a_data_processing.YouTube.api:2019-12-21 14:22:46,032:INFO:........Channel 19
a_data_processing.YouTube.api:2019-12-21 14:22:46,235:INFO:........Channel 20
a_data_processing.YouTube.api:2019-12-21 14:22:46,469:INFO:........Channel 21
a_data_processing.YouTube.api:2019-12-21 14:22:46,688:INFO:........Channel 22
a_data_processing.YouTube.api:2019-12-21 14:22:46,891:INFO:........Channel 23
a_data_processing.YouTube.api:2019-12-21 14:22:47,132:INFO:........Channel 24
a_data_processing.YouTube.api:2019-12-21 14:22:47,333:INFO:........Channel 25
a_data_processing.YouTube.api:2019-12-21 14:22:52,558:INFO:........Channel 26
a_data_processing.YouTube.api:2019-12-21 14:22:52,761:INFO:........Channel 27
a_data_processing.YouTube.api:2019-12-21 14:22:53,104:INFO:........Channel 28
a_data_processing.YouTube.api:2019-12-21 14:22:53,437:INFO:........Channel 29
a_data_processing.YouTube.api:2019-12-21 14:22:53,641:INFO:........Channel 30
a_data_processing.YouTube.api:2019-12-21 14:22:53,875:INFO:........Channel 31
a_data_processing.YouTube.api:2019-12-21 14:22:54,104:INFO:........Channel 32
a_data_processing.YouTube.api:2019-12-21 14:22:54,330:INFO:........Channel 33
a_data_processing.YouTube.api:2019-12-21 14:22:54,658:INFO:........Channel 34
a_data_processing.YouTube.api:2019-12-21 14:22:54,877:INFO:........Channel 35
a_data_processing.YouTube.api:2019-12-21 14:22:55,105:INFO:........Channel 36
a_data_processing.YouTube.api:2019-12-21 14:22:55,315:INFO:........Channel 37
a_data_processing.YouTube.api:2019-12-21 14:22:55,519:INFO:........Channel 38
a_data_processing.YouTube.api:2019-12-21 14:22:55,770:INFO:........Channel 39
a_data_processing.YouTube.api:2019-12-21 14:22:55,970:INFO:........Channel 40
a_data_processing.YouTube.api:2019-12-21 14:22:56,172:INFO:........Channel 41
a_data_processing.YouTube.api:2019-12-21 14:22:56,387:INFO:........Channel 42
a_data_processing.YouTube.api:2019-12-21 14:22:56,591:INFO:........Channel 43
a_data_processing.YouTube.api:2019-12-21 14:22:56,887:INFO:........Channel 44
a_data_processing.YouTube.api:2019-12-21 14:22:57,093:INFO:........Channel 45
a_data_processing.YouTube.api:2019-12-21 14:22:57,309:INFO:........Channel 46
a_data_processing.YouTube.api:2019-12-21 14:22:57,512:INFO:........Channel 47
a_data_processing.YouTube.api:2019-12-21 14:22:57,747:INFO:........Channel 48
a_data_processing.YouTube.api:2019-12-21 14:22:57,981:INFO:........Channel 49
a_data_processing.YouTube.api:2019-12-21 14:22:58,196:INFO:........Channel 50
a_data_processing.YouTube.api:2019-12-21 14:22:58,434:INFO:........Channel 51
a_data_processing.YouTube.api:2019-12-21 14:22:58,637:INFO:........Channel 52
a_data_processing.YouTube.api:2019-12-21 14:22:58,841:INFO:........Channel 53
a_data_processing.YouTube.api:2019-12-21 14:22:59,118:INFO:........Channel 54
